# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\Windows\Desktop\DE1_SoC_i2sound\DE1_SoC_i2sound.csv
# Generated on: Sat Mar 30 13:31:28 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK2_50,Input,PIN_AA16,4A,B4A_N0,PIN_AA16,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Input,PIN_Y26,5B,B5B_N0,PIN_Y26,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Input,PIN_K14,8A,B8A_N0,PIN_K14,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,PIN_AF14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_AJ14,3B,B3B_N0,PIN_AJ14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AH13,3B,B3B_N0,PIN_AH13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AG12,3B,B3B_N0,PIN_AG12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AG13,3B,B3B_N0,PIN_AG13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AH15,3B,B3B_N0,PIN_AH15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AF15,3B,B3B_N0,PIN_AF15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AD14,3B,B3B_N0,PIN_AD14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AC14,3B,B3B_N0,PIN_AC14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_AB15,3B,B3B_N0,PIN_AB15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AE14,3B,B3B_N0,PIN_AE14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AG15,3B,B3B_N0,PIN_AG15,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AH14,3B,B3B_N0,PIN_AH14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AK14,3B,B3B_N0,PIN_AK14,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AJ12,3B,B3B_N0,PIN_AJ12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AF13,3B,B3B_N0,PIN_AF13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_AF11,3B,B3B_N0,PIN_AF11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Output,PIN_AK13,3B,B3B_N0,PIN_AK13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AH12,3B,B3B_N0,PIN_AH12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Output,PIN_AG11,3B,B3B_N0,PIN_AG11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_AJ5,3B,B3B_N0,PIN_AJ5,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_AJ6,3B,B3B_N0,PIN_AJ6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_AH7,3B,B3B_N0,PIN_AH7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_AH8,3B,B3B_N0,PIN_AH8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AH9,3B,B3B_N0,PIN_AH9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AJ9,3B,B3B_N0,PIN_AJ9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AJ10,3B,B3B_N0,PIN_AJ10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AH10,3B,B3B_N0,PIN_AH10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AJ11,3B,B3B_N0,PIN_AJ11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_AK11,3B,B3B_N0,PIN_AK11,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_AG10,3B,B3B_N0,PIN_AG10,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_AK9,3B,B3B_N0,PIN_AK9,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_AK8,3B,B3B_N0,PIN_AK8,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_AK7,3B,B3B_N0,PIN_AK7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_AJ7,3B,B3B_N0,PIN_AJ7,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_AK6,3B,B3B_N0,PIN_AK6,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_LDQM,Output,PIN_AB13,3B,B3B_N0,PIN_AB13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AE13,3B,B3B_N0,PIN_AE13,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AK12,3B,B3B_N0,PIN_AK12,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AA13,3B,B3B_N0,PIN_AA13,3.3-V LVTTL,,,,,,,,,,,,,
FAN_CTRL,Output,PIN_AA12,3A,B3A_N0,PIN_AA12,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_I2C_SCLK,Output,PIN_J12,8A,B8A_N0,PIN_J12,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_I2C_SDAT,Bidir,PIN_K12,8A,B8A_N0,PIN_K12,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Bidir,PIN_AJ21,4A,B4A_N0,PIN_AJ21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Bidir,PIN_AG18,4A,B4A_N0,PIN_AG18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Bidir,PIN_AG20,4A,B4A_N0,PIN_AG20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Bidir,PIN_AF18,4A,B4A_N0,PIN_AF18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Bidir,PIN_AG21,4A,B4A_N0,PIN_AG21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Bidir,PIN_AF19,4A,B4A_N0,PIN_AF19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Bidir,PIN_AF21,4A,B4A_N0,PIN_AF21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Bidir,PIN_AF20,4A,B4A_N0,PIN_AF20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Bidir,PIN_AE19,4A,B4A_N0,PIN_AE19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Bidir,PIN_AE18,4A,B4A_N0,PIN_AE18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Bidir,PIN_AD20,4A,B4A_N0,PIN_AD20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Bidir,PIN_AD19,4A,B4A_N0,PIN_AD19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Bidir,PIN_AK21,4A,B4A_N0,PIN_AK21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Bidir,PIN_AH20,4A,B4A_N0,PIN_AH20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Bidir,PIN_AJ20,4A,B4A_N0,PIN_AJ20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Bidir,PIN_AH19,4A,B4A_N0,PIN_AH19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Bidir,PIN_AC20,4A,B4A_N0,PIN_AC20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Bidir,PIN_AE17,4A,B4A_N0,PIN_AE17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Bidir,PIN_AA19,4A,B4A_N0,PIN_AA19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Bidir,PIN_AA18,4A,B4A_N0,PIN_AA18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Bidir,PIN_AG17,4A,B4A_N0,PIN_AG17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Bidir,PIN_AF16,4A,B4A_N0,PIN_AF16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Bidir,PIN_AE16,4A,B4A_N0,PIN_AE16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Bidir,PIN_AG16,4A,B4A_N0,PIN_AG16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Bidir,PIN_AH17,4A,B4A_N0,PIN_AH17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Bidir,PIN_AH18,4A,B4A_N0,PIN_AH18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Bidir,PIN_AJ16,4A,B4A_N0,PIN_AJ16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Bidir,PIN_AJ17,4A,B4A_N0,PIN_AJ17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Bidir,PIN_AJ19,4A,B4A_N0,PIN_AJ19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Bidir,PIN_AK19,4A,B4A_N0,PIN_AK19,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Bidir,PIN_AK18,4A,B4A_N0,PIN_AK18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Bidir,PIN_AK16,4A,B4A_N0,PIN_AK16,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Bidir,PIN_Y18,4A,B4A_N0,PIN_Y18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Bidir,PIN_AD17,4A,B4A_N0,PIN_AD17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Bidir,PIN_Y17,4A,B4A_N0,PIN_Y17,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Bidir,PIN_AC18,4A,B4A_N0,PIN_AC18,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Bidir,PIN_AC22,4A,B4A_N0,PIN_AC22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Bidir,PIN_AA20,4A,B4A_N0,PIN_AA20,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Bidir,PIN_AD21,4A,B4A_N0,PIN_AD21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Bidir,PIN_AE22,4A,B4A_N0,PIN_AE22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Bidir,PIN_AF23,4A,B4A_N0,PIN_AF23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Bidir,PIN_AF24,4A,B4A_N0,PIN_AF24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Bidir,PIN_AG22,4A,B4A_N0,PIN_AG22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Bidir,PIN_AH22,4A,B4A_N0,PIN_AH22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Bidir,PIN_AJ22,4A,B4A_N0,PIN_AJ22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Bidir,PIN_AK22,4A,B4A_N0,PIN_AK22,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Bidir,PIN_AH23,4A,B4A_N0,PIN_AH23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Bidir,PIN_AK23,4A,B4A_N0,PIN_AK23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Bidir,PIN_AG23,4A,B4A_N0,PIN_AG23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Bidir,PIN_AK24,4A,B4A_N0,PIN_AK24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Bidir,PIN_AJ24,4A,B4A_N0,PIN_AJ24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Bidir,PIN_AJ25,4A,B4A_N0,PIN_AJ25,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Bidir,PIN_AH25,4A,B4A_N0,PIN_AH25,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Bidir,PIN_AK26,4A,B4A_N0,PIN_AK26,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Bidir,PIN_AJ26,4A,B4A_N0,PIN_AJ26,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Bidir,PIN_AK27,4A,B4A_N0,PIN_AK27,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Bidir,PIN_AK28,4A,B4A_N0,PIN_AK28,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Bidir,PIN_AK29,4A,B4A_N0,PIN_AK29,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Bidir,PIN_AJ27,4A,B4A_N0,PIN_AJ27,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Bidir,PIN_AH27,4A,B4A_N0,PIN_AH27,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Bidir,PIN_AH24,4A,B4A_N0,PIN_AH24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Bidir,PIN_AG26,4A,B4A_N0,PIN_AG26,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Bidir,PIN_AG25,4A,B4A_N0,PIN_AG25,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Bidir,PIN_AF26,4A,B4A_N0,PIN_AF26,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Bidir,PIN_AF25,4A,B4A_N0,PIN_AF25,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Bidir,PIN_AE24,4A,B4A_N0,PIN_AE24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Bidir,PIN_AE23,4A,B4A_N0,PIN_AE23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Bidir,PIN_AD24,4A,B4A_N0,PIN_AD24,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Bidir,PIN_AC23,4A,B4A_N0,PIN_AC23,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Bidir,PIN_AB21,4A,B4A_N0,PIN_AB21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Bidir,PIN_AA21,4A,B4A_N0,PIN_AA21,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Bidir,PIN_AB17,4A,B4A_N0,PIN_AB17,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,PIN_AH28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,PIN_AG28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,PIN_AF28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,PIN_AG27,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,PIN_AE28,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,PIN_AE27,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,PIN_AE26,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,PIN_AD27,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,PIN_AF30,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,PIN_AF29,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,PIN_AG30,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,PIN_AH30,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,PIN_AH29,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,PIN_AJ29,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5B,B5B_N0,PIN_AC30,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5B,B5B_N0,PIN_AC29,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5B,B5B_N0,PIN_AD30,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5B,B5B_N0,PIN_AC28,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5B,B5B_N0,PIN_AD29,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5B,B5B_N0,PIN_AE29,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,PIN_AB23,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,PIN_AB22,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,PIN_AB25,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Output,PIN_AB28,5B,B5B_N0,PIN_AB28,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Output,PIN_AC25,5A,B5A_N0,PIN_AC25,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Output,PIN_AD25,5A,B5A_N0,PIN_AD25,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Output,PIN_AC27,5A,B5A_N0,PIN_AC27,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Output,PIN_AD26,5A,B5A_N0,PIN_AD26,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Output,PIN_W25,5B,B5B_N0,PIN_W25,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Output,PIN_V23,5A,B5A_N0,PIN_V23,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Output,PIN_W24,5A,B5A_N0,PIN_W24,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Output,PIN_W22,5A,B5A_N0,PIN_W22,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Output,PIN_Y24,5A,B5A_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Output,PIN_Y23,5A,B5A_N0,PIN_Y23,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Output,PIN_AA24,5A,B5A_N0,PIN_AA24,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Output,PIN_AA25,5A,B5A_N0,PIN_AA25,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Output,PIN_AA26,5B,B5B_N0,PIN_AA26,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Output,PIN_AB26,5A,B5A_N0,PIN_AB26,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Output,PIN_AB27,5B,B5B_N0,PIN_AB27,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Output,PIN_Y27,5B,B5B_N0,PIN_Y27,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Output,PIN_AA28,5B,B5B_N0,PIN_AA28,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Output,PIN_V25,5B,B5B_N0,PIN_V25,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_RXD,Input,PIN_AA30,5B,B5B_N0,PIN_AA30,3.3-V LVTTL,,,,,,,,,,,,,
IRDA_TXD,Output,PIN_AB30,5B,B5B_N0,PIN_AB30,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Input,PIN_Y16,3B,B3B_N0,PIN_Y16,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Input,PIN_W15,3B,B3B_N0,PIN_W15,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Input,PIN_AA15,3B,B3B_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Input,PIN_AA14,3B,B3B_N0,PIN_AA14,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Output,PIN_Y21,5A,B5A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Output,PIN_W21,5A,B5A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Output,PIN_W20,5A,B5A_N0,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Output,PIN_W19,4A,B4A_N0,PIN_W19,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Output,PIN_W17,4A,B4A_N0,PIN_W17,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Output,PIN_V18,4A,B4A_N0,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Output,PIN_V17,4A,B4A_N0,PIN_V17,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Output,PIN_W16,4A,B4A_N0,PIN_W16,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Output,PIN_V16,4A,B4A_N0,PIN_V16,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK,Bidir,PIN_AD7,3A,B3A_N0,PIN_AD7,3.3-V LVTTL,,,,,,,,,,,,,
PS2_CLK2,Bidir,PIN_AD9,3A,B3A_N0,PIN_AD9,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT,Bidir,PIN_AE7,3A,B3A_N0,PIN_AE7,3.3-V LVTTL,,,,,,,,,,,,,
PS2_DAT2,Bidir,PIN_AE9,3A,B3A_N0,PIN_AE9,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Input,PIN_AE12,3A,B3A_N0,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Input,PIN_AD10,3A,B3A_N0,PIN_AD10,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Input,PIN_AC9,3A,B3A_N0,PIN_AC9,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Input,PIN_AE11,3A,B3A_N0,PIN_AE11,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Input,PIN_AD12,3A,B3A_N0,PIN_AD12,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Input,PIN_AD11,3A,B3A_N0,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Input,PIN_AF10,3A,B3A_N0,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Input,PIN_AF9,3A,B3A_N0,PIN_AF9,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Input,PIN_AC12,3A,B3A_N0,PIN_AC12,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Input,PIN_AB12,3A,B3A_N0,PIN_AB12,3.3-V LVTTL,,,,,,,,,,,,,
TD_CLK27,Input,PIN_H15,8A,B8A_N0,PIN_H15,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[7],Input,PIN_B3,8A,B8A_N0,PIN_B3,3.3-V LVTTL,,,,,,,,,,,,,
TD_DATA[6],Input,PIN_C2,8A,B8A_N0,PIN_C2,3.3-V LVTTL,,,,,,,,,,,,,
